Date,Maker,Model,Bullets,Channel,Quantity
1810-01-01,Remington,model_1,bullets_A,TF,0
1810-01-02,Remington,model_1,bullets_A,TF,2
1810-01-03,Remington,model_1,bullets_A,TF,3
1810-01-04,Remington,model_1,bullets_A,TF,2
1810-01-05,Remington,model_1,bullets_A,TF,3
1810-01-06,Remington,model_1,bullets_A,TF,2
1810-01-07,Remington,model_1,bullets_A,TF,1
1810-01-08,Remington,model_1,bullets_A,TF,0
1810-01-09,Remington,model_1,bullets_A,TF,0
1810-01-10,Remington,model_1,bullets_A,TF,2
1810-01-11,Remington,model_1,bullets_A,TF,2
1810-01-12,Remington,model_1,bullets_A,TF,6
1810-01-13,Remington,model_1,bullets_A,TF,4
1810-01-14,Remington,model_1,bullets_A,TF,5
1810-01-15,Remington,model_1,bullets_A,TF,3
1810-01-16,Remington,model_1,bullets_A,TF,0
1810-01-17,Remington,model_1,bullets_A,TF,1
1810-01-18,Remington,model_1,bullets_A,TF,1
1810-01-19,Remington,model_1,bullets_A,TF,2
1810-01-20,Remington,model_1,bullets_A,TF,1
1810-01-21,Remington,model_1,bullets_A,TF,1
1810-01-22,Remington,model_1,bullets_A,TF,2
1810-01-23,Remington,model_1,bullets_A,TF,3
1810-01-24,Remington,model_1,bullets_A,TF,4
1810-01-25,Remington,model_1,bullets_A,TF,4
1810-01-26,Remington,model_1,bullets_A,TF,5
1810-01-27,Remington,model_1,bullets_A,TF,6
1810-01-28,Remington,model_1,bullets_A,TF,8
1810-01-29,Remington,model_1,bullets_A,TF,9
1810-01-30,Remington,model_1,bullets_A,TF,10
1810-01-31,Remington,model_1,bullets_A,TF,12
1810-02-01,Remington,model_1,bullets_A,TF,12
1810-02-02,Remington,model_1,bullets_A,TF,13
1810-02-03,Remington,model_1,bullets_A,TF,14
1810-02-04,Remington,model_1,bullets_A,TF,15
1810-02-05,Remington,model_1,bullets_A,TF,17
1810-02-06,Remington,model_1,bullets_A,TF,16
1810-02-07,Remington,model_1,bullets_A,TF,15
1810-02-08,Remington,model_1,bullets_A,TF,12
1810-02-09,Remington,model_1,bullets_A,TF,13
1810-02-10,Remington,model_1,bullets_A,TF,13
1810-02-11,Remington,model_1,bullets_A,TF,13
1810-02-12,Remington,model_1,bullets_A,TF,14
1810-02-13,Remington,model_1,bullets_A,TF,12
1810-02-14,Remington,model_1,bullets_A,TF,15
1810-02-15,Remington,model_1,bullets_A,TF,14
