Date,Maker,Model,Quantity
1810-01-01,Remington,model_1,4
1810-01-02,Remington,model_1,6
1810-01-03,Remington,model_1,13
1810-01-04,Remington,model_1,23
1810-01-05,Remington,model_1,32
1810-01-06,Remington,model_1,37
1810-01-07,Remington,model_1,33
1810-01-08,Remington,model_1,24
1810-01-09,Remington,model_1,21
1810-01-10,Remington,model_1,29
1810-01-11,Remington,model_1,32
1810-01-12,Remington,model_1,63
1810-01-13,Remington,model_1,58
1810-01-14,Remington,model_1,56
1810-01-15,Remington,model_1,39
1810-01-16,Remington,model_1,50
1810-01-17,Remington,model_1,40
1810-01-18,Remington,model_1,38
1810-01-19,Remington,model_1,40
1810-01-20,Remington,model_1,36
1810-01-21,Remington,model_1,30
1810-01-22,Remington,model_1,28
1810-01-23,Remington,model_1,34
1810-01-24,Remington,model_1,23
1810-01-25,Remington,model_1,16
1810-01-26,Remington,model_1,7
1810-01-27,Remington,model_1,1
1810-01-28,Remington,model_1,13
1810-01-29,Remington,model_1,7
1810-01-30,Remington,model_1,21
1810-01-31,Remington,model_1,12
1810-02-01,Remington,model_1,5
1810-02-02,Remington,model_1,21
1810-02-03,Remington,model_1,23
1810-02-04,Remington,model_1,42
1810-02-05,Remington,model_1,50
1810-02-06,Remington,model_1,66
1810-02-07,Remington,model_1,70
1810-02-08,Remington,model_1,73
1810-02-09,Remington,model_1,79
1810-02-10,Remington,model_1,77
1810-02-11,Remington,model_1,81
1810-02-12,Remington,model_1,75
1810-02-13,Remington,model_1,101
1810-02-14,Remington,model_1,96
1810-02-15,Remington,model_1,89
1810-02-16,Remington,model_1,84
1810-02-17,Remington,model_1,94
1810-02-18,Remington,model_1,113
1810-02-19,Remington,model_1,108
1810-02-20,Remington,model_1,98
1810-02-21,Remington,model_1,106
1810-02-22,Remington,model_1,110
1810-02-23,Remington,model_1,90
1810-02-24,Remington,model_1,128
1810-02-25,Remington,model_1,140
1810-02-26,Remington,model_1,141
1810-02-27,Remington,model_1,122
1810-02-28,Remington,model_1,107
1810-03-01,Remington,model_1,78
1810-03-02,Remington,model_1,69
1810-03-03,Remington,model_1,54
1810-03-04,Remington,model_1,44
1810-03-05,Remington,model_1,38
1810-03-06,Remington,model_1,50
1810-03-07,Remington,model_1,62
1810-03-08,Remington,model_1,44
1810-03-09,Remington,model_1,48
1810-03-10,Remington,model_1,45
1810-03-11,Remington,model_1,45
1810-03-12,Remington,model_1,44
1810-03-13,Remington,model_1,53
1810-03-14,Remington,model_1,51
1810-03-15,Remington,model_1,66
1810-03-16,Remington,model_1,74
1810-03-17,Remington,model_1,68
1810-03-18,Remington,model_1,51
1810-03-19,Remington,model_1,28
1810-03-20,Remington,model_1,19
1810-03-21,Remington,model_1,31
1810-03-22,Remington,model_1,41
1810-03-23,Remington,model_1,41
1810-03-24,Remington,model_1,33
1810-03-25,Remington,model_1,18
1810-03-26,Remington,model_1,31
1810-03-27,Remington,model_1,35
1810-03-28,Remington,model_1,45
1810-03-29,Remington,model_1,54
1810-03-30,Remington,model_1,66
1810-03-31,Remington,model_1,80
1810-04-01,Remington,model_1,83
1810-04-02,Remington,model_1,76
1810-04-03,Remington,model_1,75
1810-04-04,Remington,model_1,98
1810-04-05,Remington,model_1,74
1810-04-06,Remington,model_1,71
1810-04-07,Remington,model_1,51
1810-04-08,Remington,model_1,25
1810-04-09,Remington,model_1,49
1810-04-10,Remington,model_1,50
1810-04-11,Remington,model_1,70
1810-04-12,Remington,model_1,54
1810-04-13,Remington,model_1,57
1810-04-14,Remington,model_1,64
1810-04-15,Remington,model_1,64
1810-04-16,Remington,model_1,45
1810-04-17,Remington,model_1,57
1810-04-18,Remington,model_1,45
1810-04-19,Remington,model_1,43
1810-04-20,Remington,model_1,43
1810-04-21,Remington,model_1,54
1810-04-22,Remington,model_1,50
1810-04-23,Remington,model_1,75
1810-04-24,Remington,model_1,59
1810-04-25,Remington,model_1,58
1810-04-26,Remington,model_1,31
1810-04-27,Remington,model_1,50
1810-04-28,Remington,model_1,43
1810-04-29,Remington,model_1,25
1810-04-30,Remington,model_1,14
1810-05-01,Remington,model_1,5
1810-05-02,Remington,model_1,2
1810-05-03,Remington,model_1,14
1810-05-04,Remington,model_1,23
1810-05-05,Remington,model_1,37
1810-05-06,Remington,model_1,26
1810-05-07,Remington,model_1,36
1810-05-08,Remington,model_1,41
1810-05-09,Remington,model_1,35
1810-05-10,Remington,model_1,17
1810-05-11,Remington,model_1,17
1810-05-12,Remington,model_1,12
1810-05-13,Remington,model_1,2
1810-05-14,Remington,model_1,10
1810-05-15,Remington,model_1,38
1810-05-16,Remington,model_1,45
1810-05-17,Remington,model_1,54
1810-05-18,Remington,model_1,43
1810-05-19,Remington,model_1,6
1810-05-20,Remington,model_1,30
1810-05-21,Remington,model_1,48
1810-05-22,Remington,model_1,38
1810-05-23,Remington,model_1,51
1810-05-24,Remington,model_1,48
1810-05-25,Remington,model_1,58
1810-05-26,Remington,model_1,61
1810-05-27,Remington,model_1,46
1810-05-28,Remington,model_1,52
1810-05-29,Remington,model_1,65
1810-05-30,Remington,model_1,45
1810-05-31,Remington,model_1,58
1810-06-01,Remington,model_1,34
1810-06-02,Remington,model_1,27
1810-06-03,Remington,model_1,6
1810-06-04,Remington,model_1,16
1810-06-05,Remington,model_1,8
1810-06-06,Remington,model_1,24
1810-06-07,Remington,model_1,21
1810-06-08,Remington,model_1,21
1810-06-09,Remington,model_1,13
1810-06-10,Remington,model_1,9
1810-06-11,Remington,model_1,12
1810-06-12,Remington,model_1,11
1810-06-13,Remington,model_1,27
1810-06-14,Remington,model_1,38
1810-06-15,Remington,model_1,60
1810-06-16,Remington,model_1,60
1810-06-17,Remington,model_1,45
1810-06-18,Remington,model_1,52
1810-06-19,Remington,model_1,51
1810-06-20,Remington,model_1,30
1810-06-21,Remington,model_1,0
1810-06-22,Remington,model_1,3
1810-06-23,Remington,model_1,0
1810-06-24,Remington,model_1,34
1810-06-25,Remington,model_1,50
1810-06-26,Remington,model_1,44
1810-06-27,Remington,model_1,63
1810-06-28,Remington,model_1,51
1810-06-29,Remington,model_1,36
1810-06-30,Remington,model_1,27
1810-07-01,Remington,model_1,34
1810-07-02,Remington,model_1,25
1810-07-03,Remington,model_1,3
1810-07-04,Remington,model_1,2
1810-07-05,Remington,model_1,31
1810-07-06,Remington,model_1,41
1810-07-07,Remington,model_1,27
1810-07-08,Remington,model_1,23
1810-07-09,Remington,model_1,46
1810-07-10,Remington,model_1,51
1810-07-11,Remington,model_1,64
1810-07-12,Remington,model_1,43
1810-07-13,Remington,model_1,31
1810-07-14,Remington,model_1,32
1810-07-15,Remington,model_1,58
1810-07-16,Remington,model_1,63
1810-07-17,Remington,model_1,82
1810-07-18,Remington,model_1,69
1810-07-19,Remington,model_1,81
1810-07-20,Remington,model_1,87
1810-07-21,Remington,model_1,97
1810-07-22,Remington,model_1,90
1810-07-23,Remington,model_1,85
1810-07-24,Remington,model_1,87
1810-07-25,Remington,model_1,96
1810-07-26,Remington,model_1,100
1810-07-27,Remington,model_1,103
1810-07-28,Remington,model_1,95
1810-07-29,Remington,model_1,106
1810-07-30,Remington,model_1,115
1810-07-31,Remington,model_1,119
1810-08-01,Remington,model_1,119
1810-08-02,Remington,model_1,110
1810-08-03,Remington,model_1,98
1810-08-04,Remington,model_1,85
1810-08-05,Remington,model_1,102
1810-08-06,Remington,model_1,121
1810-08-07,Remington,model_1,123
1810-08-08,Remington,model_1,126
1810-08-09,Remington,model_1,115
1810-08-10,Remington,model_1,110
1810-08-11,Remington,model_1,91
1810-08-12,Remington,model_1,107
1810-08-13,Remington,model_1,107
1810-08-14,Remington,model_1,114
1810-08-15,Remington,model_1,99
1810-08-16,Remington,model_1,82
1810-08-17,Remington,model_1,97
1810-08-18,Remington,model_1,103
1810-08-19,Remington,model_1,106
1810-08-20,Remington,model_1,114
1810-08-21,Remington,model_1,108
1810-08-22,Remington,model_1,101
1810-08-23,Remington,model_1,71
1810-08-24,Remington,model_1,87
1810-08-25,Remington,model_1,94
1810-08-26,Remington,model_1,89
1810-08-27,Remington,model_1,69
1810-08-28,Remington,model_1,80
1810-08-29,Remington,model_1,75
1810-08-30,Remington,model_1,108
1810-08-31,Remington,model_1,151
1810-09-01,Remington,model_1,150
1810-09-02,Remington,model_1,164
1810-09-03,Remington,model_1,159
1810-09-04,Remington,model_1,147
1810-09-05,Remington,model_1,133
1810-09-06,Remington,model_1,130
1810-09-07,Remington,model_1,125
1810-09-08,Remington,model_1,149
1810-09-09,Remington,model_1,147
1810-09-10,Remington,model_1,150
1810-09-11,Remington,model_1,128
1810-09-12,Remington,model_1,128
1810-09-13,Remington,model_1,122
1810-09-14,Remington,model_1,137
1810-09-15,Remington,model_1,146
1810-09-16,Remington,model_1,160
1810-09-17,Remington,model_1,162
1810-09-18,Remington,model_1,149
1810-09-19,Remington,model_1,154
1810-09-20,Remington,model_1,163
1810-09-21,Remington,model_1,166
1810-09-22,Remington,model_1,161
1810-09-23,Remington,model_1,176
1810-09-24,Remington,model_1,167
1810-09-25,Remington,model_1,142
1810-09-26,Remington,model_1,160
1810-09-27,Remington,model_1,164
1810-09-28,Remington,model_1,193
1810-09-29,Remington,model_1,208
1810-09-30,Remington,model_1,220
1810-10-01,Remington,model_1,204
1810-10-02,Remington,model_1,200
1810-10-03,Remington,model_1,192
1810-10-04,Remington,model_1,196
1810-10-05,Remington,model_1,188
1810-10-06,Remington,model_1,203
1810-10-07,Remington,model_1,184
1810-10-08,Remington,model_1,205
1810-10-09,Remington,model_1,218
1810-10-10,Remington,model_1,240
1810-10-11,Remington,model_1,239
1810-10-12,Remington,model_1,224
1810-10-13,Remington,model_1,241
1810-10-14,Remington,model_1,241
1810-10-15,Remington,model_1,264
