"post_id","keyword","message","post_date","is_question","label"
52135495,"giúp mình","Chào bạn,
Mình cũngcó sử dụng Yandex để tạo mail tên miền riêng tuy nhiên hiện tại chỉ nhận được mail, không gửi được.
Khi kiểm tra Mxtoolbox thì báo lỗi [B]No DMARC Record found[/B] và lỗi [B]Reverse DNS does not match SMTP Banner[/B]
Sử dụng trình duyệt để gửi mail thì Yandex chặn lại không cho gửi đi như sau

[IMG]https://scontent.fhan2-3.fna.fbcdn.net/v/t1.0-9/40371414_1937651396278480_7597501558384754688_n.jpg?_nc_cat=0&oh=2d9bfb0ee0c37b8805fe9c2b5a140bf9&oe=5BF5D1EF[/IMG]

Mình mới tạo email tên miền đưuọc 24h.
Bạn có thể giúp mình vụ này không?","2018-09-01 00:49:42.000",1,"yes"
52136050,"làm sao","Pin còn One Power 5k thì quá ngon nhưng xem xét cái giá thì chát quá, chiếc One đã 300$ thì One Power cũng phải 350$ giá thế này làm sao cạnh tranh được khi chẳng có cái gì quá đặc biệt","2018-09-01 02:23:39.000",0,"no"
52136333,"giúp mình","Vào giúp mình với.mình xài con 6s qt ios 11.0.1 . Hôm qua tải về filza lỡ nghịch ngu rồi xoá mất file Viettel_vn.bundle rồi. Ai có file này giúp mình với. Mình cảm ơn trước ạ. System/Library/Carrier Bundle/ IPhone","2018-09-01 03:05:22.000",1,"yes"
52136445,"giúp em
tư vấn giúp","Như tiêu đề hiện tại do em làm giáo dục phải nâng cấp lên máy quay phim trong tầm giá 25-30tr có nhiều dòng của 2 hãng Panasonic với Sony quá mà e chưa chọn được cái nào.
Nhờ ace tư vấn giúp em với những mục đích sau với ạ:
-Quay xóa phông
-Quay trong điều kiện thiếu sáng
-Zoom max ít bị vỡ ảnh.
-Lấy nét nhanh chóng.
-Chống rung quang học
-Gain cao hình ảnh ít bị vỡ càng tốt!
P/s:Yêu câu hơi cao nhưng em đã ngầm chọn ra đc 2 em này 
[SIZE=6][B]Panasonic AG-AC30 VS Sony HXR-NX100[/B][/SIZE] nhưng em vẫn phân vân quá
AC30 của pana thì zoom với lấy nét nhanh zoom tốt còn NX100 thì gain max gần như ko vỡ ảnh phục vụ thiéu sáng rất tốt mỗi tội màu em cảm giác ko thật lắm lấy nét chậm.
Anh chị trong nghề tư vấn giúp em với ạ.
Em cảm ơn ạ!","2018-09-01 03:18:05.000",1,"yes"
52136817,"cho em hỏi","Mọi người ơi cho em hỏi, hôm qua thấy bị lỗi update nhiều quá, em có xoá profile của beta cũ đi rồi vì nghĩ do profile đó. Rồi bâyh e có download lại profile beta nhưng vào phần update nó không hiện, mà lỗi thì cứ hiện pop up ra :(( giờ phải làm như nào để khắc phục ạ","2018-09-01 04:12:43.000",1,"yes"
52138598,"giúp em","Ở HN ai dọn full giúp em đc không ạ? Chưa tìm đc ai tin tưởng để giao. Vì em cũng không rành lắm. 

Bác nào dọn lại cho vui kiêm kiếm tí alo em.","2018-09-01 08:49:20.000",1,"yes"
52139677,"làm sao","1643 Đầy sân gươm tuốt sáng lòa,
1644 Thất kinh nàng chửa biết là làm sao.



Dầy sân gưv tud ság lòa 
Thât cih nàg chửa bid là làm sao

Nguyễn Thị Minh Trang  - 46887","2018-09-01 12:16:31.000",0,"no"
52140125,"làm sao","""theo anh em đâu là nguyên nhân"" ? :D Tụi nó làm gì biết, thậm chí nếu ko nói lý do ""hiện tượng sụt áp suất"" thì tụi nó còn tự hỏi làm sao người ta phát hiện 1 lỗ thủng siêu nhỏ trong 1 con tàu siêu to nữa kìa :D ( trong đó có mình )","2018-09-01 13:22:58.000",0,"no"
52140588,"làm sao","Bạn tham khảo thử [URL='https://www.facebook.com/Thuonghieuanhcuoihandauvietnam']Luxury Wedding[/URL] ở Hồ Văn Huê nha!

Thiệt tình em rất “bực mình” vì mới sáng sớm mà hình cưới của em gần trăm cmt “ Ảnh cưới đẹp quá chị ơi, chị xinh quá , bla ... bla...” nên e phải lên đây cho 3 sao về tội sáng nay làm e
sướng hết cả người, nổ hết cả lỗ mũi .
+ 1 sao : vì makeup dễ thương, tự nhiên, chị makeup theo e thì có tâm lắm luôn. 
+ 1 sao: vì đường xa em mang thiếu đồ tùm lum .. đang lo lắng k biết chụp làm saoo đâyy..
Chị makeup liền tìm đồ cho e mượn ngay .
+ 1 sao : anh chụp hình chụp hơi bị chuyên nghiệp .. em chả biết tạo dáng j đâu... “ ngã ng xa xíu nữa dâu ơi, rồi rồi cười tươi lên, nắm tay dâu, để tay lên vaiii.... bla blaa... 
tạch tạch tạch tạch . “Thay đồ em ơii”!! Hơi bị nhanh luôn, tạo dáng hơi bị tự nhiên luôn. Xem hình mà thích ơi là thích. Cứ nghỉ như mấy chị dâu chụp cả ngày ng đừ như cộng bún chứ e thấy e chụp khoẻ ghê. 1 buổi chiều là xong. 
+ 1 sao : 2 anh phụ cũng dễ thương ko kém, xách váy cho e nè, rồi tung váy nè.. chạy ngược chạy xuôi..toát hết cả mồ hôi.

Đây là bộ ảnh của vợ chồng em!","2018-09-01 14:41:53.000",0,"no"
52140662,"làm sao","Bạn tham khảo thử [URL='https://www.facebook.com/Thuonghieuanhcuoihandauvietnam']Luxury Wedding[/URL] ở Hồ Văn Huê nha!

Thiệt tình em rất “bực mình” vì mới sáng sớm mà hình cưới của em gần trăm cmt “ Ảnh cưới đẹp quá chị ơi, chị xinh quá , bla ... bla...” nên e phải lên đây cho 3 sao về tội sáng nay làm e
sướng hết cả người, nổ hết cả lỗ mũi .
+ 1 sao : vì makeup dễ thương, tự nhiên, chị makeup theo e thì có tâm lắm luôn. 
+ 1 sao: vì đường xa em mang thiếu đồ tùm lum .. đang lo lắng k biết chụp làm saoo đâyy..
Chị makeup liền tìm đồ cho e mượn ngay .
+ 1 sao : anh chụp hình chụp hơi bị chuyên nghiệp .. em chả biết tạo dáng j đâu... “ ngã ng xa xíu nữa dâu ơi, rồi rồi cười tươi lên, nắm tay dâu, để tay lên vaiii.... bla blaa... 
tạch tạch tạch tạch . “Thay đồ em ơii”!! Hơi bị nhanh luôn, tạo dáng hơi bị tự nhiên luôn. Xem hình mà thích ơi là thích. Cứ nghỉ như mấy chị dâu chụp cả ngày ng đừ như cộng bún chứ e thấy e chụp khoẻ ghê. 1 buổi chiều là xong. 
+ 1 sao : 2 anh phụ cũng dễ thương ko kém, xách váy cho e nè, rồi tung váy nè.. chạy ngược chạy xuôi..toát hết cả mồ hôi.

Đây là bộ ảnh của vợ chồng em!","2018-09-01 14:48:11.000",0,"no"
52140669,"làm sao","Bạn tham khảo thử [URL='https://www.facebook.com/Thuonghieuanhcuoihandauvietnam']Luxury Wedding[/URL] ở Hồ Văn Huê nha!

Thiệt tình em rất “bực mình” vì mới sáng sớm mà hình cưới của em gần trăm cmt “Ảnh cưới đẹp quá chị ơi, chị xinh quá , bla ... bla...” nên e phải lên đây cho 3 sao về tội sáng nay làm e
sướng hết cả người, nổ hết cả lỗ mũi .
+ 1 sao : vì makeup dễ thương, tự nhiên, chị makeup theo e thì có tâm lắm luôn.
+ 1 sao: vì đường xa em mang thiếu đồ tùm lum .. đang lo lắng k biết chụp làm saoo đâyy..
Chị makeup liền tìm đồ cho e mượn ngay .
+ 1 sao : anh chụp hình chụp hơi bị chuyên nghiệp .. em chả biết tạo dáng j đâu... “ ngã ng xa xíu nữa dâu ơi, rồi rồi cười tươi lên, nắm tay dâu, để tay lên vaiii.... bla blaa...
tạch tạch tạch tạch . “Thay đồ em ơii”!! Hơi bị nhanh luôn, tạo dáng hơi bị tự nhiên luôn. Xem hình mà thích ơi là thích. Cứ nghỉ như mấy chị dâu chụp cả ngày ng đừ như cộng bún chứ e thấy e chụp khoẻ ghê. 1 buổi chiều là xong.
+ 1 sao : 2 anh phụ cũng dễ thương ko kém, xách váy cho e nè, rồi tung váy nè.. chạy ngược chạy xuôi..toát hết cả mồ hôi.

Đây là [URL='https://sansan.vn/']bộ ảnh cưới[/URL] của vợ chồng em!","2018-09-01 14:48:51.000",0,"no"
52140673,"làm sao","Bạn tham khảo thử [URL='https://www.facebook.com/Thuonghieuanhcuoihandauvietnam']Luxury Wedding[/URL] ở Hồ Văn Huê nha!

Thiệt tình em rất “bực mình” vì mới sáng sớm mà hình cưới của em gần trăm cmt “ Ảnh cưới đẹp quá chị ơi, chị xinh quá , bla ... bla...” nên e phải lên đây cho 3 sao về tội sáng nay làm e
sướng hết cả người, nổ hết cả lỗ mũi .
+ 1 sao : vì makeup dễ thương, tự nhiên, chị makeup theo e thì có tâm lắm luôn. 
+ 1 sao: vì đường xa em mang thiếu đồ tùm lum .. đang lo lắng k biết chụp làm saoo đâyy..
Chị makeup liền tìm đồ cho e mượn ngay .
+ 1 sao : anh chụp hình chụp hơi bị chuyên nghiệp .. em chả biết tạo dáng j đâu... “ ngã ng xa xíu nữa dâu ơi, rồi rồi cười tươi lên, nắm tay dâu, để tay lên vaiii.... bla blaa... 
tạch tạch tạch tạch . “Thay đồ em ơii”!! Hơi bị nhanh luôn, tạo dáng hơi bị tự nhiên luôn. Xem hình mà thích ơi là thích. Cứ nghỉ như mấy chị dâu chụp cả ngày ng đừ như cộng bún chứ e thấy e chụp khoẻ ghê. 1 buổi chiều là xong. 
+ 1 sao : 2 anh phụ cũng dễ thương ko kém, xách váy cho e nè, rồi tung váy nè.. chạy ngược chạy xuôi..toát hết cả mồ hôi.

Đây là bộ ảnh của vợ chồng em!","2018-09-01 14:49:25.000",0,"no"
